year,sex,name,n,prop
1950,Female,Marion,1387,7.885507210946698e-4
1950,Female,Jessie,937,5.327123472715974e-4
1950,Female,Kerry,478,2.717572059720636e-4
1950,Female,Jaime,28,1.5918832148991173e-5
1950,Female,Casey,16,9.096475513709242e-6
1950,Male,Kerry,1062,5.835187278192828e-4
1950,Male,Jessie,1019,5.598922633218919e-4
1950,Male,Marion,821,4.5110063610134766e-4
1950,Male,Harley,264,1.4505550296072567e-4
1950,Male,Jaime,154,8.46157100604233e-5
1950,Male,Riley,152,8.351680473496327e-5
1950,Male,Casey,117,6.428596153941252e-5
1950,Male,Quinn,26,1.4285769230980558e-5
1950,Male,Peyton,18,9.890147929140386e-6
1951,Female,Marion,1341,7.261731541203693e-4
1951,Female,Jessie,940,5.090251788763215e-4
1951,Female,Kerry,492,2.6642594468845765e-4
1951,Female,Jaime,28,1.5162452136741492e-5
1951,Female,Casey,18,9.747290659333816e-6
1951,Female,Riley,5,2.7075807387038377e-6
1951,Male,Kerry,1178,6.165641153404083e-4
1951,Male,Jessie,988,5.171182902855038e-4
1951,Male,Marion,856,4.4802961182630686e-4
1951,Male,Harley,257,1.3451356336373934e-4
1951,Male,Jaime,167,8.740764623246875e-5
1951,Male,Casey,154,8.060345820239633e-5
1951,Male,Riley,147,7.693966464774196e-5
1951,Male,Peyton,27,1.4131775139381175e-5
1951,Male,Quinn,27,1.4131775139381175e-5
1952,Female,Marion,1264,6.645129577398148e-4
1952,Female,Jessie,878,4.6158415893635867e-4
1952,Female,Kerry,556,2.9230158584124766e-4
1952,Female,Casey,28,1.472022374740096e-5
1952,Female,Jaime,23,1.2091612363936504e-5
1952,Female,Riley,7,3.68005593685024e-6
1952,Female,Harley,5,2.6286113834644574e-6
1952,Male,Kerry,1169,5.923795364034708e-4
1952,Male,Jessie,1035,5.244763217943475e-4
1952,Male,Marion,783,3.9677773909659335e-4
1952,Male,Harley,272,1.3783339084836959e-4
1952,Male,Jaime,208,1.0540200476640028e-4
1952,Male,Casey,180,9.12132733555387e-5
1952,Male,Riley,163,8.25986864275156e-5
1952,Male,Peyton,20,1.0134808150615411e-5
1952,Male,Quinn,16,8.107846520492328e-6
1953,Female,Marion,1279,6.629986615617325e-4
1953,Female,Jessie,899,4.6601704202032645e-4
1953,Female,Kerry,568,2.944356839461017e-4
1953,Female,Jaime,35,1.8143043905129504e-5
1953,Female,Casey,31,1.6069553173114704e-5
1953,Female,Harley,5,2.5918634150185005e-6
1953,Male,Kerry,1259,6.291533365115821e-4
1953,Male,Jessie,1067,5.332062033819366e-4
1953,Male,Marion,775,3.8728660508060057e-4
1953,Male,Jaime,257,1.2842923549124432e-4
1953,Male,Harley,256,1.2792951083952743e-4
1953,Male,Casey,179,8.945071265732582e-5
1953,Male,Riley,163,8.145511822985535e-5
